article_id,new_general_yi,new_special_yi,refinance_yi
68171,0.0,368.68,0.0
68350,0.0,0.0,293.35
68348,0.0,80.0,159.0
68347,100.0,30.0,117.25
68346,0.0,170.0,360.0
68345,0.0,0.0,85.56
68343,0.0,152.58,729.89
68342,67.7,0.0,600.0
68341,0.0,250.0,389.0
68340,107.21,150.0,150.0
68338,0.0,0.0,0.0
68335,0.0,0.0,0.0
68334,0.0,269.85,0.0
68332,0.0,200.0,56.06
68322,0.0,138.15,423.88
68321,0.0,200.0,145.0
68314,90.0,200.0,90.98
68308,0.0,0.0,0.0
68307,0.0,0.0,38.96
68306,0.0,50.0,
68145,43.6,73.88,367.82
68130,0.0,0.3,157.67
68116,11.0,15.26,92.42
68072,4.5,139.0,196.43
69237,0.0,62.74,381.18
68054,0.0,0.0,0.0
68046,0.0,0.0,0.0
68044,31.36,194.0,342.87
68028,0.0,0.0,352.76
68025,0.0,150.36,143.05
68030,0.0,0.0,598.44
68024,0.0,550.0,0.0
68014,0.0,160.0,347.0
68013,0.0,0.0,0.0
68012,106.82,80.0,360.0
68009,0.0,0.0,0.0
67999,132.6,400.91,280.83
67998,0.0,972.5,82.46
67993,59.0,71.0,639.18
68023,0.0,488.0,210.0
67989,0.0,0.0,147.4
67982,0.0,400.0,337.0
67977,173.93,105.43,0.0
67974,40.0,21.84,20.0
67953,50.0,25.0,363.43
67948,0.0,0.0,449.76
67927,24.0,56.0,0.0
67906,0.0,0.0,
67898,0.0,0.0,112.76
67850,0.0,90.15,88.61
67821,0.0,0.0,255.69
67819,0.0,35.0,0.0
67773,0.0,0.0,333.95
67772,0.0,0.0,248.39
69236,35.0,284.11,485.61
67671,0.0,0.0,
67675,0.0,200.0,0.0
67664,0.0,237.0,1.0
67662,37.74,33.54,508.07
67661,30.0,50.0,100.0
67659,0.0,0.0,0.0
67657,194.0,630.0,377.9
67656,109.0,344.18,0.0
67652,125.0,0.0,0.0
67645,0.0,0.0,0.0
67666,0.0,0.0,
67658,252.0,100.0,165.0
67643,0.0,300.0,200.0
67639,0.0,0.0,0.0
67618,0.0,0.0,49.7
67617,0.0,0.0,0.0
67616,0.0,0.0,0.0
67615,0.0,0.0,0.0
67614,0.0,0.0,0.0
67601,45.0,50.0,98.88
67583,0.0,0.0,216.0
67567,80.5769,46.0,0.0
67543,24.0,56.0,41.09
67539,0.0,0.0,0.0
69235,0.0,0.0,0.0
67488,0.0,467.72,256.09
67460,0.0,0.0,159.82
67457,0.0,200.0,481.85
67456,30.0,0.0,100.0
67452,24.0,115.5,183.0
67450,100.0,100.0,0.0
67449,0.0,150.0,13.86
67448,0.0,0.0,0.0
67447,0.0,50.0,0.0
67446,0.0,0.0,0.0
67445,0.0,0.0,0.0
67444,0.0,0.0,85.0
67443,10.0,326.0,110.0
67441,0.0,0.0,0.0
67470,0.0,150.0,154.0
67423,0.0,0.0,30.6444
67422,0.0,200.0,381.15
69073,0.0,0.0,0.0
67409,200.0,400.0,550.0
67407,0.0,0.0,
67402,0.0,0.0,0.0
67398,0.0,0.0,0.0
67380,190.0,50.0,0.0
67377,0.0,0.0,0.0
67353,0.0,0.0,0.0
67217,12.0,120.0,60.0
69284,0.0,0.0,16.74
69283,0.0,0.0,0.0
69282,0.0,0.0,0.0
69281,0.0,0.0,0.0
69280,0.0,0.0,0.0
69214,0.0,0.0,0.0
69010,0.0,42.18,207.52
68916,0.0,0.0,0.0
68915,0.0,386.39,59.0
68914,24.07,129.79,44.1
68913,0.0,21.55,99.3
68912,0.0,79.3,292.1
68911,0.0,0.0,0.0
68890,0.0,0.0,0.0
68858,0.0,0.0,0.0
68857,0.0,120.38,27.0
68856,0.0,47.25,18.95
68855,0.0,82.0,13.0
68854,54.9,12.12,107.87
68853,0.0,0.0,0.0
68852,0.0,109.77,44.18
68851,0.7,31.13,19.52
67707,0.0,0.0,0.0
67706,0.0,100.0,117.66
67705,0.0,357.17,319.25
67693,10.0,19.0,0.0
67692,59.5,13.98,0.0
67633,0.0,32.23,0.0
67391,2.68,55.91,297.43
67289,0.0,78.99,0.0
67200,56.8,0.0,42.0
67193,0.0,16.0,0.0
69234,24.83,160.0,41.33
67154,0.0,57.44,99.0
66715,0.0,0.0,82.0
66716,0.0,0.0,227.0456
66718,55.0,149.02,128.57
66712,0.0,0.0,213.76
66701,25.7,23.24,56.53
66689,0.0,0.0,225.72
66687,201.0,788.0,86.0
66681,0.0,50.0,0.0
66672,0.0,0.0,0.0
66669,0.0,0.0,210.0
67062,22.0,84.31,75.3
67059,55.27,1.0,43.0
67058,10.53,43.73,22.5
67056,0.0,0.0,0.0
67110,0.0,0.0,0.0
67199,0.0,0.0,0.0
67037,0.0,10.0,33.0
67033,,,169.76
67029,0.0,23.24,0.0
67028,0.0,0.0,0.0
66746,70.0,200.0,8.4
66745,0.0,0.0,0.0
66744,0.0,39.6,40.0
66726,4.11,3.8,85.31
66724,0.0,318.93,58.48
66723,10.53,43.73,22.5
66719,0.0,400.0,235.0
66717,0.0,60.0,72.77
66722,38.8,173.83,150.0
66786,0.0,199.15,
66648,0.0,0.0,275.2
66636,0.0,0.0,0.0
66635,0.0,74.78,19.0
66633,0.0,76.81,0.0
66623,0.0,0.0,211.6126
66600,56.8,0.0,42.0
69232,58.83,248.09,549.39
66577,21.86,450.0,0.0
66557,9.0,94.5,62.92
66520,3.0,41.5,0.0
67025,0.0,0.0,0.0
67007,0.0,0.0,55.46
66982,0.0,0.0,0.0
66981,0.0,0.0,0.0
66953,0.0,0.0,0.0
66921,0.0,28.43,0.0
66913,0.0,0.0,0.0
69233,47.79,623.72,140.58
66808,0.0,0.0,0.0
66811,0.0,307.39,0.0
67140,91.92,146.6,50.0
67117,0.0,14.76,19.0
67109,0.0,61.4942,0.0
67108,,,
67083,12.93,0.0,31.42
67076,0.0,0.0,40.58
67075,87.2,0.0,129.3318
67073,0.0,39.6,0.0
67071,0.0,0.0,0.0
67070,0.0,0.0,0.0
66131,45.0,55.0,45.08
66129,0.0,327.47,0.0
66125,1.021,81.6,26.7886
66124,0.0,0.0,0.0
66120,0.0,225.73,122.73
66116,0.0,50.0,21.86
66109,0.0,0.0,0.0
66105,0.0,70.0,23.0
66107,0.0,0.0,241.83
66113,0.0,111.47,0.0
66348,0.0,0.0,0.0
66347,80.35,0.0,121.95
66334,0.0,122.0,0.0
66296,84.23,15.27,0.0
66274,0.0,0.0,42.25
66238,0.0,21.98,12.11
69231,43.0,345.17,436.1
66208,124.07,2.1,446.31
66139,69.93,473.4,340.88
66132,45.92,228.1,489.36
66492,0.0,381.68,0.0
66491,10.13,23.87,0.0
66484,126.0,175.96,133.07
66481,0.0,300.0,50.0
66480,46.21,177.46,0.63
66476,20.0,51.0,69.0
66475,0.0,0.0,0.0
66471,0.0,0.0,0.0
66457,0.0,484.13,50.31
66454,0.0,0.0,0.0
66420,0.0,0.0,193.94
66422,,,0.0
66405,0.0,0.0,88.0
66397,0.0,0.0,44.19
66394,0.0,39.6,0.0
66393,19.74,40.76,0.0
66390,0.0,0.0,0.0
66379,93.3,16.79,199.25
66378,0.0,70.0,0.0
66368,0.0,49.0,0.0
66449,44.32,127.14,122.21
66441,0.0,10.0,0.0
66439,0.0,0.0,0.0
66438,0.0,0.0,18.0
66437,0.0,176.0,0.0
66436,0.0,638.48,62.29
66433,13.04,165.42,0.0
66430,0.0,0.0,363.83
66427,0.0,0.0,0.0
66424,0.0,0.0,102.54
66096,30.0,280.0,79.23
66089,0.0,0.0,0.0
66078,0.0,0.0,324.0
66070,33.0,51.0,0.0
66066,25.7,214.0,0.0
66064,0.0,0.0,0.0
66031,0.0,100.0,0.0
66024,0.0,165.0,68.88
66006,63.19,200.0,30.02
66004,66.15,730.5,90.43
65805,0.0,0.0,66.37
65777,0.0,80.0,0.0
65757,60.0,500.0,0.0
65739,40.0,280.0,79.23
65713,0.0,0.0,208.0
65736,0.0,400.0,360.0
65707,0.0,244.0,99.37
65698,0.0,363.33,0.0
65696,80.0,410.0,194.14
65695,0.0,228.0,181.5
69229,25.0,133.21,118.65
65340,60.0,150.0,24.07
65322,63.19,218.26,162.72
65317,0.0,42.286,78.188
65314,30.0,94.08,20.0
65313,0.0,0.0,449.9
65312,0.0,700.0,73.57
65303,0.0,0.0,0.0
65302,0.0,591.31,24.49
65308,,,
65285,45.0,52.0,61.83
65284,15.0,100.0,44.0
65283,0.0,100.0,0.0
65282,0.0,161.6,0.0
65266,0.0,123.0,100.0
65252,0.0,0.0,0.0
65250,75.91,509.0,361.09
65249,0.0,0.0,203.18
65271,20.0,89.0,152.82
65694,33.0,290.0,23.0
